ts,event_type,payload_json
2026-05-09T22:58:55.744769+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-09T22:58:55.745820+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-424e21efa2"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000494, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0494, ""created_at"": ""2026-05-09T22:58:55.745802+00:00""}"
2026-05-09T22:58:55.746793+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""82040226-62a1-44bc-bbda-f9f98ac5a8ac"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-09T22:59:12.560354+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-09T22:59:12.563094+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-956c0963af"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000527, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0527, ""created_at"": ""2026-05-09T22:59:12.563076+00:00""}"
2026-05-09T22:59:12.564063+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""9efcae17-1fe4-4b71-baa3-28f64595ee99"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-09T23:00:13.516139+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-71c8f670f4"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100045.356981, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0454, ""created_at"": ""2026-05-09T23:00:13.516122+00:00""}"
2026-05-09T23:00:13.572189+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-09T23:00:13.573223+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-timeout-992f0b34"", ""status"": ""TIMEOUT"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 0.0, ""fee_usdt"": 0.0, ""slippage_pct"": 0.0, ""created_at"": ""2026-05-09T23:00:13.573207+00:00""}"
2026-05-09T23:00:13.574181+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""daa69cb6-e23a-47a3-9180-462fae33d42f"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T00:32:22.023937+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-adf4d46ec0"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100049.241319, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0492, ""created_at"": ""2026-05-10T00:32:22.023921+00:00""}"
2026-05-10T00:32:22.152710+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T00:32:22.153788+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-16584d52bf"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000501, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0501, ""created_at"": ""2026-05-10T00:32:22.153773+00:00""}"
2026-05-10T00:32:22.154736+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""66fb0ad3-d86c-4b9f-945b-97bc1d2ba975"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T00:48:31.598718+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-d8464680ff"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100052.379285, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0524, ""created_at"": ""2026-05-10T00:48:31.598693+00:00""}"
2026-05-10T00:48:31.736395+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T00:48:31.737385+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-a6af7b18cd"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000495, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0495, ""created_at"": ""2026-05-10T00:48:31.737370+00:00""}"
2026-05-10T00:48:31.738276+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""74318dc4-4036-48b6-94c8-93ade886b16e"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:04:18.439840+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-5ae6dcbfc3"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100046.4607, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0465, ""created_at"": ""2026-05-10T01:04:18.439800+00:00""}"
2026-05-10T01:04:18.597853+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:04:18.598849+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-c6e3430ae1"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000543, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0543, ""created_at"": ""2026-05-10T01:04:18.598813+00:00""}"
2026-05-10T01:04:18.599785+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""e874b5d1-d6bf-4a26-911b-e798fee16a30"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:11:32.512104+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-88d6a3605d"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100058.372418, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0584, ""created_at"": ""2026-05-10T01:11:32.512039+00:00""}"
2026-05-10T01:11:33.087149+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:11:33.088133+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-dfe5cc6320"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000439, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0439, ""created_at"": ""2026-05-10T01:11:33.088100+00:00""}"
2026-05-10T01:11:33.089037+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""13ebe0c1-231f-4fc2-ae8b-fc948579d05b"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:12:20.038408+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-3848d25d24"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100043.716613, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0437, ""created_at"": ""2026-05-10T01:12:20.038370+00:00""}"
2026-05-10T01:12:20.604984+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:12:20.606082+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-6b8d47de03"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000596, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0596, ""created_at"": ""2026-05-10T01:12:20.606048+00:00""}"
2026-05-10T01:12:20.607015+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""ea0907ad-7316-41aa-92d0-7ee3e78d1c95"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:15:49.337365+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-9275eebbba"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100040.061028, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0401, ""created_at"": ""2026-05-10T01:15:49.337323+00:00""}"
2026-05-10T01:15:50.003547+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:15:50.004641+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-c259a8b3e9"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.0004, ""fee_usdt"": 0.005, ""slippage_pct"": 0.04, ""created_at"": ""2026-05-10T01:15:50.004603+00:00""}"
2026-05-10T01:15:50.005632+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""7edcd6c6-6475-4c6d-9701-643464ceddbc"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:16:53.346808+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-5525b4ee46"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100058.417782, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0584, ""created_at"": ""2026-05-10T01:16:53.346768+00:00""}"
2026-05-10T01:16:53.975460+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:16:53.976436+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-8fc94eeb2d"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000571, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0571, ""created_at"": ""2026-05-10T01:16:53.976403+00:00""}"
2026-05-10T01:16:53.977681+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""28d4d842-898b-4dfa-af2a-7148633ab44c"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:24:33.664224+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-07fb93eee5"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100056.124567, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0561, ""created_at"": ""2026-05-10T01:24:33.664185+00:00""}"
2026-05-10T01:24:34.455584+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:24:34.456601+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-9db7032e83"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000444, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0444, ""created_at"": ""2026-05-10T01:24:34.456567+00:00""}"
2026-05-10T01:24:34.457552+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""865c684c-6091-4ad4-be2c-62e008b88a43"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:25:16.365105+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-5abdd95ff0"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100047.13688, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0471, ""created_at"": ""2026-05-10T01:25:16.365066+00:00""}"
2026-05-10T01:25:17.040786+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:25:17.041787+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-e17b7443e2"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.00051, ""fee_usdt"": 0.005, ""slippage_pct"": 0.051, ""created_at"": ""2026-05-10T01:25:17.041753+00:00""}"
2026-05-10T01:25:17.042703+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""5653ba9e-bbbc-49ea-bcab-bd6a1627f434"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:34:59.168647+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-7ae83d74e7"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100044.362739, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0444, ""created_at"": ""2026-05-10T01:34:59.168607+00:00""}"
2026-05-10T01:34:59.902779+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:34:59.904014+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-87a5c1f01b"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000404, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0404, ""created_at"": ""2026-05-10T01:34:59.903977+00:00""}"
2026-05-10T01:34:59.905062+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""b280d7c5-f626-463f-8337-b0b7d32c11bf"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:38:33.534018+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-d15d7f5108"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100044.167939, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0442, ""created_at"": ""2026-05-10T01:38:33.533978+00:00""}"
2026-05-10T01:38:35.274522+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:38:35.275593+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-2984169639"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000596, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0596, ""created_at"": ""2026-05-10T01:38:35.275558+00:00""}"
2026-05-10T01:38:35.276510+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""9f2f7066-c9bf-4b19-b081-d906717eee2a"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:41:42.497386+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-f80f5979a1"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100051.816818, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0518, ""created_at"": ""2026-05-10T01:41:42.497345+00:00""}"
2026-05-10T01:41:44.264866+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:41:44.265896+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-a3e24b2a7b"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000446, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0446, ""created_at"": ""2026-05-10T01:41:44.265863+00:00""}"
2026-05-10T01:41:44.266828+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""1bc7af72-4ea4-4afb-8e46-9e293cee0780"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:47:53.561375+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-3ca8d62912"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100042.825509, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0428, ""created_at"": ""2026-05-10T01:47:53.561336+00:00""}"
2026-05-10T01:47:55.338384+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:47:55.339409+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-647fba1def"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000549, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0549, ""created_at"": ""2026-05-10T01:47:55.339376+00:00""}"
2026-05-10T01:47:55.340334+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""91810380-393c-4723-ba3e-d60e500276fe"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:52:17.138689+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-0ca5660744"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100058.489909, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0585, ""created_at"": ""2026-05-10T01:52:17.138648+00:00""}"
2026-05-10T01:52:18.900978+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:52:18.902107+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-timeout-bc016e5f"", ""status"": ""TIMEOUT"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 0.0, ""fee_usdt"": 0.0, ""slippage_pct"": 0.0, ""created_at"": ""2026-05-10T01:52:18.902071+00:00""}"
2026-05-10T01:52:18.903054+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""4400dfaa-3cd5-4524-9ef5-b6a9c78f9284"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:56:52.982803+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-90f70f9918"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100057.507876, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0575, ""created_at"": ""2026-05-10T01:56:52.982739+00:00""}"
2026-05-10T01:56:54.779902+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:56:54.780965+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-4752e83dc1"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.00048, ""fee_usdt"": 0.005, ""slippage_pct"": 0.048, ""created_at"": ""2026-05-10T01:56:54.780929+00:00""}"
2026-05-10T01:56:54.781932+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""53af7f03-a47a-4aa0-9327-7253bafa6cd6"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T02:16:29.423689+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-cd12e4f094"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100043.140934, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0431, ""created_at"": ""2026-05-10T02:16:29.423650+00:00""}"
2026-05-10T02:16:31.332885+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T02:16:31.333968+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-56134f1785"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.00043, ""fee_usdt"": 0.005, ""slippage_pct"": 0.043, ""created_at"": ""2026-05-10T02:16:31.333933+00:00""}"
2026-05-10T02:16:31.334960+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""a12ef34f-d576-48cd-a524-94d9787e9627"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
